"Artist","Track","User","Rating"
1,6,3475,32.930854331157
6,149,39210,39.436017407513
40,177,47861,36.7689638454954
31,79,27413,34.3019100920704
26,66,23232,35.497876855689
26,61,22055,35.5663512758204
2,68,24799,35.5297722148639
25,59,18862,34.7230523600473
0,150,38832,36.0876843825435
1,6,2963,37.8872461288922
2,174,50279,37.5838765066741
0,151,40651,39.164177137312
22,122,32258,42.9389779514754
26,61,24022,36.0760372326124
42,158,41437,31.0771097432667
22,52,17546,31.945687547362
16,138,34937,26.863603276522
39,106,27891,36.5899544545195
32,83,25811,41.9129394167029
46,169,44548,41.6226051438058
10,26,9404,33.0189964501261
41,156,41323,31.5310309969395
0,2,482,42.8257539844403
43,159,42937,34.1840304103228
10,140,33966,33.0851614605445
30,76,24111,34.918349543391
10,144,33620,23.855432735689
25,59,19890,38.2309181939879
0,150,39322,30.2992768473662
22,55,20599,25.732251315479
35,88,29074,39.2359530386139
22,121,33040,26.8292423208788
8,20,8977,38.2033862253973
35,90,30817,39.5297374507544
46,165,45243,34.2955800140519
2,175,49529,37.2657249756954
2,174,48639,24.9927053439724
26,66,24087,35.7194231155045
37,101,31068,31.9166341593435
4,12,36718,44.4658270635082
1,6,3796,35.8208944112337
34,86,27805,29.7845805031958
4,11,3559,37.029622819685
38,102,27848,33.8414443742742
6,16,6218,43.3240391286636
49,182,50382,37.144319523528
14,95,27721,29.5342642304624
21,49,19533,35.5970652691737
21,48,22314,37.8533786940625
26,63,23166,35.7048491282753
26,63,23815,37.5848022442101
41,155,42550,48.18238372251
9,21,7880,35.8961788285617
26,63,23862,35.8604509784932
20,46,18515,26.7327613490478
11,152,38579,42.776926938128
7,17,8815,39.8738712695411
30,76,24859,35.1121701309255
32,81,27217,30.9264351409639
44,162,41611,38.7127795331971
26,67,23111,28.3380693893937
1,6,2050,39.3297013720018
16,139,34813,35.8386299214905
32,84,26515,46.0748208515572
26,67,21841,35.0627517529914
46,166,45409,37.49607612089
22,125,32920,35.9013439951335
10,145,35357,20.8242503315687
30,76,23900,34.8636755541266
26,62,23302,38.091175314958
22,129,32257,44.3413017056103
42,157,41556,37.3554500855786
22,113,33185,46.3540560519274
0,2,42,46.9210487360659
14,32,11191,31.6514562091262
44,161,42454,30.7941177115599
33,85,35671,36.3239639600167
44,162,41997,38.1211435648362
45,163,45056,37.0661944874896
26,62,23208,31.8091848527268
41,156,41692,35.9155682561638
26,63,21724,35.331200348563
46,165,45220,35.6305891774382
38,102,31919,35.0031067563001
33,85,35686,40.6427658327398
24,58,21088,40.9527303022823
16,139,33583,35.7873952720132
39,106,30090,29.9932580468106
4,12,5510,37.7365684036388
16,135,33457,33.1770950472181
3,10,3393,29.835753898142
2,7,3131,34.1296242749655
47,170,46080,35.3125087636366
13,31,13280,27.4662312792622
46,169,43575,38.1656409125839
10,143,35398,44.834031890252
35,90,29982,38.1398883965196
17,36,16261,56.6491174721372
0,1,762,36.2372463385279
26,66,23586,36.1969197818153
47,171,46709,40.8569483604058
11,153,40843,36.2707259252242
22,128,32245,44.8086729398215
41,155,42629,36.8105710556246
42,158,41849,38.574932105862
0,2,1495,43.1994328878101
0,1,38667,42.2878615815716
26,67,23285,35.4369187695687
20,45,18515,26.8074527120923
37,100,32077,39.1548185079213
20,44,17589,18.2533576370432
48,172,47637,39.0836584915705
20,46,18898,26.5388987940591
35,89,29696,25.7916909454825
25,59,19947,40.0249676881827
21,51,19543,24.8732582482161
10,144,35635,35.1349282449416
11,153,39705,41.3007276863897
3,10,4494,27.2685361692733
22,122,32869,46.0801936483437
21,47,20115,36.1233320657836
18,38,16644,36.2830907179462
1,5,3980,33.0401025654138
11,28,10567,28.231395970234
6,15,6278,29.1316233453265
21,48,22231,36.6584173195862
21,22,17501,37.0790289689582
47,170,46093,40.1557746917324
16,139,33667,44.8633431157193
26,67,23894,35.5947218949811
2,175,50238,25.6620848203024
10,26,10451,43.9519859700774
21,47,17475,39.2822542059822
27,71,24854,38.3190707075993
34,87,28666,35.89624305359
39,105,31775,32.5559874268964
5,13,3522,27.4258501344305
29,75,25074,35.2576666529769
20,44,18565,37.1973335371954
35,90,29629,41.1918489181432
22,131,32660,46.4495994385079
8,20,9287,42.9067837863898
22,115,32926,33.8617369479934
37,98,31996,34.0504959462035
10,26,9000,37.9298019979657
2,70,21977,36.1636520850424
33,85,26260,39.4412245837479
12,30,11280,45.4489439244889
20,44,18190,32.5660430949366
9,22,9433,33.1731194832351
28,72,24342,35.3071607455087
38,102,27820,40.6300845594948
22,125,33050,36.6909846576578
0,1,929,43.0871997840011
45,164,44890,36.1495791598376
46,165,44994,37.650313331522
48,172,48556,30.3185944135
2,8,1811,27.752786482887
16,136,33328,31.0998618846287
0,1,718,27.5703696546908
35,92,29748,42.4294823799586
1,5,3060,38.3040016483957
6,16,5772,38.3480127759387
26,66,21361,35.0130662684201
11,154,39483,29.6504783354205
0,1,1183,42.6539080658168
44,162,42034,31.5526810668155
35,88,28048,35.3495339744474
39,105,29922,38.3530871843672
3,9,5461,42.0003913496011
22,52,19082,34.7893133998833
16,135,34261,23.3234694453602
17,36,16251,27.221638667346
29,75,25282,35.3115632869437
23,56,20622,28.6108780611361
39,105,27759,35.3361531050737
21,47,19777,35.9823470926778
20,44,19034,20.8727243397135
1,4,3680,30.0858358733113
21,60,21446,27.768045013013
22,53,19831,48.137753351065
11,152,38823,39.8133149597596
30,78,24670,34.9138140210878
0,150,40395,39.3274252364412
39,105,31999,37.7601253928923
28,73,24136,33.0625440510515
7,17,8732,38.0200561395354
46,168,45194,42.0883496181865
26,65,23127,35.5453607833175
32,84,26234,34.9369376777882
37,99,28874,27.1096595326185
8,20,6894,50.9316336171432
9,22,6836,43.4927037557708
22,110,32539,48.3524645753039
2,7,4109,43.5266748615959
18,39,16737,38.8719514204179
11,29,6576,37.4136000475871
22,132,32428,36.7060584687279
44,161,42237,34.4345937073381
32,84,25900,37.656601646354
21,48,22033,36.6071118699447
21,60,22148,38.1057936304257
33,85,25673,32.7757334729827
22,52,20975,37.9868933449296
16,135,34040,36.9004019927408
3,10,5257,36.1248833109408
22,53,20030,35.6461628230181
3,9,4150,43.2207611557401
4,12,36482,32.0666351273703
44,162,42584,36.8184432523663
46,165,45463,30.6010405303381
10,143,34219,37.6389643121977
1,5,3114,23.392305240799
26,63,23625,41.4685536339591
6,148,39525,30.1842916096045
22,112,32258,43.6858915819204
26,62,23822,37.4547366295921
10,25,8013,36.9989611942686
2,175,50087,36.9373223223702
26,61,23760,33.0582858707472
35,91,30126,37.4134926805526
40,176,48304,33.9801025201298
10,140,35111,32.3926550078171
14,95,31816,35.9560816281774
6,16,6610,42.7057187941148
3,9,2635,32.9766038126609
4,11,5082,41.8407312098033
